title,label,filtered_title,emo_label
You Can Smell Hillary’s Fear,FAKE,Smell Hillary ’ Fear,fear
Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),FAKE,Watch Exact Moment Paul Ryan Committed Political Suicide Trump Rally ( VIDEO ),fear
Kerry to go to Paris in gesture of sympathy,REAL,Kerry go Paris gesture sympathy,joy
Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',FAKE,Bernie supporters Twitter erupt anger DNC : 'We tried warn ! ',anger
The Battle of New York: Why This Primary Matters,REAL,Battle New York : Primary Matters,neutral
"Tehran, USA",FAKE,"Tehran , USA",neutral
Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,FAKE,Girl Horrified Watches Boyfriend Left FaceTime,fear
‘Britain’s Schindler’ Dies at 106,REAL,‘ Britain ’ Schindler ’ Dies 106,sadness
Fact check: Trump and Clinton at the 'commander-in-chief' forum,REAL,Fact check : Trump Clinton 'commander-in-chief ' forum,neutral
Iran reportedly makes new push for uranium concessions in nuclear talks,REAL,Iran reportedly makes new push uranium concessions nuclear talks,neutral
"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",REAL,"three Clintons Iowa , glimpse fire eluded Hillary Clinton ’ campaign",sadness
Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,REAL,Donald Trump ’ Shockingly Weak Delegate Game Somehow Got Even Worse,fear
"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",FAKE,"Strong Solar Storm , Tech Risks Today | S0 News Oct.26.2016 [ VIDEO ]",neutral
10 Ways America Is Preparing for World War 3,FAKE,10 Ways America Preparing World War 3,neutral
"Trump takes on Cruz, but lightly",REAL,"Trump takes Cruz , lightly",neutral
How women lead differently,REAL,women lead differently,neutral
Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,FAKE,Shocking ! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,disgust
Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,FAKE,Hillary Clinton HUGE Trouble America Noticed SICK Thing Hidden Picture ... * LIBERTY WRITERS NEWS,fear
What's in that Iran bill that Obama doesn't like?,REAL,'s Iran bill Obama n't like ?,surprise
The 1 chart that explains everything you need to know about partisanship in America,REAL,1 chart explains everything need know partisanship America,neutral
The slippery slope to Trump’s proposed ban on Muslims,REAL,slippery slope Trump ’ proposed ban Muslims,fear
Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,FAKE,Episode # 160 – SUNDAY WIRE : ‘ Hail Deplorables ’ special guest Randy J,joy
Hillary Clinton Makes A Bipartisan Appeal on Staten Island,REAL,Hillary Clinton Makes Bipartisan Appeal Staten Island,neutral
New Senate majority leader’s main goal for GOP: Don’t be scary,REAL,New Senate majority leader ’ main goal GOP : ’ scary,fear
‘Inferno’ and the Overpopulation Myth,FAKE,‘ Inferno ’ Overpopulation Myth,fear
Anti-Trump forces seek last-ditch delegate revolt,REAL,Anti-Trump forces seek last-ditch delegate revolt,anger
Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,REAL,Sanders Trounces Clinton W. Va. -- Make Difference ?,neutral
Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,REAL,Donald Trump Changing Campaign Slogan Prove ’ Racist,disgust
Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),REAL,Pure chaos : Donald Trump ’ campaign management offers glimpse governing style ( spoiler alert : ’ terrible ),fear
"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",FAKE,"Syrian War Report – November 1 , 2016 : Syrian Military Deploys Advanced T-90 Battle Tanks Aleppo",neutral
GOP insiders: Carly crushed it,REAL,GOP insiders : Carly crushed,sadness
Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],FAKE,Jeffrey Sewell et al . : Metabiology face face Artificial Intelligence [ VIDEO ],neutral
Why It’s Necessary To Relax Into A Stretch,FAKE,’ Necessary Relax Stretch,neutral
"Brexit Encourages UK to Trade With Non-EU States, Including Russia",FAKE,"Brexit Encourages UK Trade Non-EU States , Including Russia",neutral
"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",FAKE,"2016 interview Socrates : Another day Life Empire ! near endgame , fools ever ‘ hope change ’ ? ( 6 ? )",surprise
Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,FAKE,Mike Pence Drapes Shawl Immodest Lady Justice Statue - Onion - America 's Finest News Source,neutral
First Ever Hindu Woman Elected into Congress,FAKE,First Ever Hindu Woman Elected Congress,neutral
Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,FAKE,Donald Groped Hillary 2005 ! Trump Weiner Sext !,disgust
Ex-Assistant FBI Director: Clintons Are a Crime Family,FAKE,Ex-Assistant FBI Director : Clintons Crime Family,fear
Hillary Wants Aggressively Interventionist Foreign Policy,FAKE,Hillary Wants Aggressively Interventionist Foreign Policy,anger
Both parties want to craft populist messages for 2016,REAL,parties want craft populist messages 2016,neutral
First Take: Wall Street bids goodbye to June hike,REAL,First Take : Wall Street bids goodbye June hike,sadness
Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,FAKE,Real Disclosure ! Secret Alien Base Found Moon 's Tycho Crater,neutral
Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,FAKE,Homeless Woman Protects Trump ’ Walk Fame Star Violent Leftists,anger
"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",REAL,"3:20 a.m. tweet storm Saturday , Clinton continues mock Trump ’ Friday ‘ meltdown ’",fear
220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,FAKE,220 ‘ Significant ’ Pipeline Spills Already Year Exposes Troubling Safety Record,fear
Obama makes the right call to tough it out in Afghanistan,REAL,Obama makes right call tough Afghanistan,neutral
Senate race rankings: Dems attack as GOP lays swing-state groundwork,REAL,Senate race rankings : Dems attack GOP lays swing-state groundwork,anger
‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,FAKE,‘ ’ know boy ’ want raped ’ – court throws Muslim migrant child sex charge Germans shock,surprise
Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,FAKE,Pieczenik “ Rogue FBI Agents Wikileaks Spearheading Movement Stop Clintons Stealing White House ” – TruthFeed,neutral
American politics has reached peak polarization,REAL,American politics reached peak polarization,neutral
Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),REAL,Anti-Muhammad cartoon contest : Free speech deliberately provocative ? ( +video ),anger
"3 Effects of Substance Abuse on Individual, Family and Community",FAKE,"3 Effects Substance Abuse Individual , Family Community",sadness
Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,FAKE,Tree Shaped Vertical Farms Grow 24 Acres Urban Crops,neutral
New Comment Features have been Added,FAKE,New Comment Features Added,neutral
World's newspapers react to 'Hebdo' attack,REAL,World 's newspapers react 'Hebdo ' attack,fear
Ying and Yang (the Gold and Silver Set-Up),FAKE,Ying Yang ( Gold Silver Set-Up ),neutral
"Closed primaries, 'warped' democracy?",REAL,"Closed primaries , 'warped ' democracy ?",neutral
Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,FAKE,Police Turn Badges Rather Incite Violence Standing Rock Protestors,anger
Donald Trump: Hillary Clinton has 'caused tremendous death',REAL,Donald Trump : Hillary Clinton 'caused tremendous death ',fear
Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,FAKE,Detroit women ’ Halloween decorations depict ‘ real-life horrors ’ … shootings police police,fear
Biden makes another surprise political stop,REAL,Biden makes another surprise political stop,surprise
"Hillary Clinton's declining favorability numbers, in context",REAL,"Hillary Clinton 's declining favorability numbers , context",neutral
Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,FAKE,Comment Quid Pro Quo ? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan ’ Relative Supreme Court lenore.lee,neutral
Hillary Clinton: The criminal investigation keeps moving forward,REAL,Hillary Clinton : criminal investigation keeps moving forward,neutral
Rubio’s parting shot at Trump,REAL,Rubio ’ parting shot Trump,anger
Loretta Lynch becomes first African-American woman AG.,REAL,Loretta Lynch becomes first African-American woman AG .,neutral
Why it's funny Republicans are upset with Facebook: Column,REAL,'s funny Republicans upset Facebook : Column,surprise
